SMILES,PCE
O=C(O)/C(/C#N)=C\c1sc(-c2sc(-c3cc4c(n(CCCCCC)c5c4cccc5)cc3)cc2)cc1,4.8
O=C(O)C(C#N)=Cc1sc(-c2sc(-c3sc4n(CCCC(CC)CC)c5c(c4c3)cccc5)cc2)cc1,7.8
O=C(O)C(C#N)=Cc1c(CCCCCC)cc(-c2c(CCCCCC)sc(-c3sc4n(CC)c5c(c4c3)cccc5)c2)s1,6.3
O=C(O)C(C#N)=Cc1sc(-c2sc(-c3sc4n(CC)c5c(c4c3)cccc5)cc2)cc1,3.4
O=C(O)C(C#N)=Cc1sc(-c2sc3n(CCC)c4c(c3c2)cccc4)cc1,4.8
O=C(O)C(C#N)=Cc1sc(-c2cc3c4n(CCCCCCCCCCCC)c5c(c4sc3cc2)cccc5)cc1,4.11
O=C(O)C(C#N)=Cc1oc(-c2cc3c4n(CCCCCCCCCCCC)c5c(c4sc3cc2)cccc5)cc1,3.1
O=C(O)C(C#N)=Cc1sc(-c2cc3c(n(CCCCC)c-4c3C(CC)(CC)c3c-4cccc3)cc2)cc1,7.39
O=C(O)C(C#N)=Cc1sc(-c2sc(-c3sc(-c4cc5c(n(CC(CCCC)CC)c6c7n(CC(CCCC)CC)c8c(c7ccc56)cccc8)cc4)cc3)cc2)cc1,5.23
O=C(O)C(C#N)=Cc1sc(-c2sc3c(sc(-c4cc5c(n(CC(CCCC)CC)c6c7n(CC(CCCC)CC)c8c(c7ccc56)cccc8)cc4)c3)c2)cc1,5.78
O=C(O)/C(/C#N)=C\c1sc(-c2cc3c4nc5c(nc4n(CCC)c3cc2)cccc5)cc1,2.72
O=C(O)/C(/C#N)=C\c1sc(C#Cc2cc3c4nc5c(nc4n(CCC)c3cc2)cccc5)cc1,3.45
O=C(O)/C(/C#N)=C\c1sc(-c2sc3n(C)c4c(c3c2)cccc4)cc1,1.4
O=C(O)/C(/C#N)=C\c1sc(-c2cc3c4nc5c(nc4n(CC(CCCC)CC)c3cc2)cccc5)cc1,4.1
O=C(O)C(C#N)=CC1=CC=C(C2=CC3Sc4c(N(CC(CCCC)CC)C3C=C2)cccc4)C1,6.82
O=C(O)C(C#N)=CC1=CN(c2cc3c(n(CCCCCC)c4c3cccc4)cc2)C2C1C=CC=C2,2.09
O=C(O)C(C#N)=CC1=CN(c2cc3N(CCCCCC)c4c(Sc3cc2)cccc4)C2C1C=CC=C2,3.3
O=C(O)C(C#N)=CC1=CN(c2ccc(N(c3ccccc3)c3ccccc3)cc2)C2C1C=CC=C2,2.15
S=C1N(CC(=O)O)C(=O)C(=Cc2ccc(-c3cc4c(n(CCCCCC)c-5c4C(CCCCCC)(CCCCCC)c4c-5cccc4)cc3)cc2)S1,2.22
O=C1C(=Cc2ccc(-c3cc4c(n(CCCCCC)c-5c4C(CCCCCC)(CCCCCC)c4c-5cccc4)cc3)cc2)SC(=C(C#N)C#N)N1,3.6
O=C1C(=Cc2sc(-c3cc4c(n(CCCCCC)c-5c4C(CCCCCC)(CCCCCC)c4c-5cccc4)cc3)cc2)SC(=C(C#N)C#N)N1,5.41
O=C(O)C(C#N)Cc1ccc(-c2cc3c(n(CCCCCC)c-4c3C(CCCCCC)(CCCCCC)c3c-4cccc3)cc2)cc1,6.29
O=C(O)C(C#N)=Cc1ccc(-c2cc3c4n(c5c3cccc5)c3c(c4c2)cccc3)cc1,2.56
O=C(O)C(C#N)=Cc1sc(-c2cc3c4n(c5c3cccc5)c3c(c4c2)cccc3)cc1,3.68
O=C(O)C(C#N)=Cc1ccc(-c2ccc(-c3cc4c5n(c6c4cccc6)c4c(c5c3)cccc4)cc2)cc1,1.59
O=C(O)C(C#N)=Cc1sc(-c2ccc(-c3cc4c5n(c6c4cccc6)c4c(c5c3)cccc4)cc2)cc1,2.55
O=C(O)C(C#N)=Cc1sc(-c2cc3c4c(n(CC)c3cc2)c2c(n(CC)c3c2cccc3)c2c4n(CC)c3c2cccc3)cc1,6.1
O=C(O)C(C#N)=Cc1oc(-c2cc3c4c(n(CC)c3cc2)c2c(n(CC)c3c2cccc3)c2c4n(CC)c3c2cccc3)cc1,5.11
O=C(O)C(C#N)=Cc1ccc(-c2cc3c4c(n(CC)c3cc2)c2c(n(CC)c3c2cccc3)c2c4n(CC)c3c2cccc3)cc1,5.5
O=C(O)/C(/C#N)=C\c1sc(-c2cc3sc4c(n(CC(CCCC)CC)c5c4sc4c5ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)c4)c3cc2)cc1,6.5
O=C(O)C(C#N)=Cc1sc(-c2sc3c(sc(-c4cc5c(n(CC(CCCC)CC)c6c7n(CC(CCCC)CC)c8c(c7ccc56)cccc8)cc4)c3)c2)cc1,5.78
O=C(O)C(C#N)=Cc1sc(C=C2C=C(C(C)(C)C)OC(C(C)(C)C)=C2)cc1,5.21
O=C(O)/C(/C#N)=C\c1sc(-c2cc3sc4c(n(CC(CCCC)CC)c5c4sc4c5ccc(-c5cc6C(C)(C)c7c(-c6cc5)cccc7)c4)c3cc2)cc1,5.01
O=C(O)C(C#N)=Cc1sc(-c2sc(-c3scc(-c4cc5c(n(CC(CCCC)CC)c6c7n(CC(CCCC)CC)c8c(c7ccc56)cccc8)cc4)c3)cc2)cc1,5.28
O=C(O)/C(/C#N)=C\c1sc(-c2cc3sc4c(n(CC(CCCC)CC)c5c4sc4c5ccc(-c5cc6c(n(CC)c7c6cccc7)cc5)c4)c3cc2)cc1,5.3
O=C(O)C(C#N)=Cc1sc(C(c2sc(C(C)(C)C)cc2)=C2C=C(C(C)(C)C)OC(C(C)(C)C)=C2)cc1,7.68
O=C(O)C(C#N)=Cc1sc(C(c2sccc2)=C2C=C(C(C)(C)C)OC(C(C)(C)C)=C2)cc1,7.68
O=C(O)C(C#N)=Cc1sc(C(c2sc(C=O)cc2)=C2C=C(C(C)(C)C)OC(C(C)(C)C)=C2)cc1,5.96
O=C(O)C(C#N)=Cc1sc(C(c2sc(C=C(C(=O)O)C#N)cc2)=C2C=C(C(C)(C)C)OC(C(C)(C)C)=C2)cc1,6.44
O=C(O)C(C#N)=Cc1ccc(-c2cc3c4nc5c(c(OC)c(OC)c(OC)c5)cc4cnc3cc2)cc1,3.22
O=C(O)C(C#N)=Cc1ccc(-c2cc3c4nc5c(cc4cnc3cc2)ccc(OC)c5)cc1,2.13
O=C(O)C(C#N)=Cc1ccc(-c2cc3c4nc5c(cc(N(C)C)cc5)cc4cnc3cc2)cc1,5.02
O=C(O)C(C#N)=Cc1cc2Sc3c(N(c4ccc(OCCCCCC)cc4)c2cc1)ccc(-c1sc(-c2sccc2)cc1)c3,7.92
O=C(O)/C(/C#N)=C\c1ccc(-c2c3nsnc3c(-c3c4c(c5n(CCCC)c6c(c5c3)cccc6)cccc4)cc2)cc1,1.16
O=C(O)/C(/C#N)=C\c1oc(-c2c3nsnc3c(-c3c4c(c5n(CCCC)c6c(c5c3)cccc6)cccc4)cc2)cc1,3.1
O=C(O)/C(/C#N)=C\c1sc(-c2c3nsnc3c(-c3c4c(c5n(CCCC)c6c(c5c3)cccc6)cccc4)cc2)cc1,4.11
O=C(O)C(C#N)=Cc1cc2c3n(-c4ccc(OC)cc4)c4c(c3n(-c3ccc(OC)cc3)c2cc1)cc(C=C(C(=O)O)C#N)cc4,5.2
O=C(O)C(C#N)=Cc1cc2c3n(-c4ccc(OC)cc4)c4c(c3n(-c3ccc(OCCCCCC)cc3)c2cc1)cc(C=C(C(=O)O)C#N)cc4,7.86
O=C(O)C(C#N)=Cc1sc(C(C#N)=Cc2c3c(n(CCCCCC)c2)cccc3)cc1,1.04
S=C1N(CC(=O)O)C(=O)C(=Cc2sc(C(C#N)=Cc3c4c(n(CCCCCC)c3)cccc4)cc2)S1,0.35
O=C(O)c1ccc(N=Cc2sc(C(C#N)=Cc3c4c(n(CCCCCC)c3)cccc4)cc2)cc1,1.18
O=C(O)C(C#N)=Cc1n(c(C=CC2=CN(CCCC)C3C2C=C(c2cc4c(n(CCCCCC)c5c4cccc5)cc2)C=C3)cc1)-c1ccc(C2=CC3C(N(CCCCCC)C4C3C=CC=C4)C=C2)cc1,4.31
O=C(O)C(C#N)=Cc1c(C)cc(-c2cc3c(n(-c4ccc(N(c5ccc(C)cc5)c5ccc(C)cc5)cc4)cc3)cc2)s1,5.53
O=C(O)C(C#N)=CC1=CN(CCCCCCN2C=C(C=C(C(=O)O)C#N)C3C2C=CC=C3)C2C1C=CC=C2,1.19
O=C(O)C(C#N)=Cc1c2c(n(Cc3ccc(Cn4c5c(c(C=C(C(=O)O)C#N)c4)cccc5)cc3)c1)cccc2,0.91
O=C(O)C(C#N)=Cc1sc(-c2sc3N(CC(CCCCCC)CC)C4C(c3c2)C=CC=C4)cc1,1.4
O=C(O)C(C#N)=Cc1sc(-c2sc(-c3sc4n(CC)c5c(c4c3)cccc5)cc2)cc1,4.8
O=C(O)C(C#N)=Cc1sc(-c2sc(-c3sc(-c4sc5n(CC)c6c(c5c4)cccc6)cc3)cc2)cc1,6.3
O=C(O)C(C#N)=Cc1sc(-c2sc(-c3sc(-c4sc5n(CCCC)c6c(c5c4)cccc6)cc3)cc2)cc1,3.4
O=C(O)C(C#N)=Cc1sc(-c2sc3n(CC)c4c(c3c2)cccc4)cc1,1.3
O=C(O)C(C#N)=Cc1sc(-c2sc3n(CCCC)c4c(c3c2)cccc4)cc1,1.4
O(CCCCCC)C1C=CC(N(C2C=CC3C4C(C(C)(C)C=3C=2)=CC(C2SC(/C=C(/C(O)=O)\C#N)=CC=2)=CC=4)C2C=CC(OCCCCCC)=CC=2)=CC=1,11.5
C(CCCCC)OC1C=CC(C2C(C3C=C(COCCCCC)C(OCCCCCC)=CC=3)=NC3C(=C(C4SC(/C=C(/C(O)=O)\C#N)=CC=4)SC=3C3SC(C4C=CC(N(C5C=CC=CC=5)C5C=CC=CC=5)=CC=4)=CC=3)N=2)=CC=1OCCCCCC,6.39
[Ir].C(CCCCC)C(CCCCCC)1C2C=C(N(CCCCCC)CCCCCC)C=CC=2C2C=CC(C3SC(C4SC(/C=C(/C(O)=O)\C#N)=CC=4)=CC=3)=CC1=2,12.21
C(CCCCC)C(CCCCCC)1C2C=C(N(CCCCCC)CCCCCC)C=CC=2C2C=CC(C3SC(/C=C(/C(O)=O)\C#N)=CC=3)=CC1=2,11.7
C1C(C2C=CC(N(CCCCCC)CCCCCC)=CC=2)=CC=C(C2SC(/C=C(/C(O)=O)\C#N)=CC=2)C=1,6.42
C1C(/C=C(/C(O)=O)\C#N)=CC=C(C2C=CC3C4C(C([*])([*])C=3C=2)=CC(N(CCCCCC)CCCCCC)=CC=4)C=1,10.76
C(CCCCC)OC1C=CC(C2C(C3C=C(OCCCCCC)C(OCCCCCC)=CC=3)=NC3C(=C(C4SC(/C=C(/C(O)=O)\C#N)=CC=4)C=CC=3C3SC(C4C=CC(N(C5C=CC=CC=5)C5C=CC=CC=5)=CC=4)=CC=3)N=2)=CC=1OCCCCCC,15.11
C(CCCCC)OC1C=CC(N(C2C=CC(OCCCCCC)=CC=2)C2C=CC(C3C=CC(C4SC(/C=C(/C(O)=O)\C#N)=CC=4)=CC=3)=CC=2)=CC=1,6.56
C(CCCCCC)OC1C=CC(N(C2C=CC(OCCCCCC)=CC=2)C2C=CC(C3SC(C4C=CC(C5SC(/C=C(/C(O)=O)\C#N)=CC=5)=C5N=C(C6C=CC(OCCCCCC)=C(OCCCCCC)C=6)C(C6C=CC(OCCCCCC)=C(OCCCCCC)C=6)=NC=45)=CC=3)=CC=2)=CC=1,18.95
C(CCCCC)OC1C=CC(N(C2C=CC(C3SC(C4SC(C5SC(/C=C(/C(O)=O)\C#N)=CC=5)=C5N=C(C6C=CC(OCCCCCC)=C(OCCCCCC)C=6)C(C6C=C(OCCCCC)C(OCCCCCC)=CC=6)=NC=45)=CC=3)=CC=2)C2C=CC(OCCCCCC)=CC=2)=CC=1,12.08
C1C=CC2C(=C(C3C=CC=CC=3C=2C#CC2C3C(=NSN=3)C(C3C=CC(C(O)=O)=CC=3)=CC=2)C#CC2C=CC(N(CCCCCC(C)C)CCCCCC(C)C)=CC=2)C=1,9.08
C1C=CC(/C(/C2C=CC=CC=2)=C(/C2C=CC(N3C4C=CC(C5SC(=C(CCCCCC)C=5)/C=C(/C(O)=O)\C#N)=CC=4SC4C=C(C5SC(/C=C(/C(O)=O)\C#N)=C(CCCCCC)C=5)C=CC3=4)=CC=2)\C2C=CC=CC=2)=CC=1,15.6
C1C=CC2C(=C(C3C=CC=CC=3C=2N(C2C=CC(OCCCCCCCCCCCC)=CC=2)C2C=CC(OCCCCCCCCCCCC)=CC=2)C#CC2C=CC(C(O)=O)=CC=2)C=1,16.16
C1C=CC(N(C2C=CC3/C(/C4C=C(N(C5C=CC=CC=5)C5C=CC=CC=5)C=CC=4C=3C=2)=C/C2SC(/C=C(/C(O)=O)\C#N)=CC=2)C2C=CC=CC=2)=CC=1,2.48
C1C=C2C3C4C(=C(N(C5C=CC(OCC(CCCC)CCCCCC)=CC=5)C5C=CC(OCC(CCCC)CCCCCC)=CC=5)C=CC=4C4=C2C(=C(C#CCC2C5C(=NSN=5)C(C5C=CC(C(O)=O)=CC=5)=CC=2)C=C4)C=1)C=CC=3,9.12
C1C=CC(N(C2C=CC(C3C=C4C(C5C(C44C(=O)C6C=CC=CC=6C6C=CC=CC4=6)=CC(C4SC(/C=C(/C(O)=O)\C#N)=CC=4)=CC=5)=CC=3)=CC=2)C2C=CC=CC=2)=CC=1,16.64
C1C=CC(N(C2C=CC(C3C=C4C(C5C(C44C(=O)C6C=CC=CC=6C6C=CC=CC4=6)=CC(C4SC(/C=C(/C(O)=O)\C#N)=CC=4)=CC=5)=CC=3)=CC=2)C2C=CC=CC=2)=CC=1,8.23
